timestamp,agent.name,rule.description,rule.level,rule.id;;;;;;;;;;Ejecución;MTTD (s);Inicio (T0);Detección Wazuh (Td);0;0,4;1,2;1,6;2;;
Jun 16, 2026 @ 22:31:14.079,DESKTOP-KUB5HJJ,Suspicious Windows cmd shell execution,3,92032;;;;;;;;;;CONTI_SIM_26;0,8800;22:35:02.201;22:35:03.081;0;0;1;0;0;;
Jun 16, 2026 @ 22:31:03.851,DESKTOP-KUB5HJJ,Suspicious Windows cmd shell execution,3,92032;;;;;;;;;;CONTI_SIM_05;0,8940;22:31:14.079;22:31:14.973;0;0;1;0;0;;
Jun 16, 2026 @ 22:22:02.268,DESKTOP-KUB5HJJ,Suspicious Windows cmd shell execution,3,92032;;;;;;;;;;CONTI_SIM_23;0,9000;22:34:29.543;22:34:30.443;0;0;1;0;0;;
Jun 16, 2026 @ 22:21:51.437,DESKTOP-KUB5HJJ,Suspicious Windows cmd shell execution,3,92032;;;;;;;;;;CONTI_SIM_29;0,9060;22:35:34.944;22:35:35.850;0;0;1;0;0;;
Jun 16, 2026 @ 22:21:38.233,DESKTOP-KUB5HJJ,Suspicious Windows cmd shell execution,3,92032;;;;;;;;;;CONTI_SIM_24;0,9250;22:34:40.443;22:34:41.368;0;0;1;0;0;;
;;;;;;;;;;;;;;2;6;21;3;1;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; MTTD (segundos);0;0,4;1,2;1,6;2;;
;;;;;;;;;;;;;Frecuencia;2;6;21;3;1;;
